Name,Year Published,Min Players,Max Players,Play Time,Users Rated,Rating Average,Complexity Average,Mechanics
Gloomhaven,2017,1,4,120,42055,8.79244,3.8604,Action Queue
Gloomhaven,2017,1,4,120,42055,8.79244,3.8604, Action Retrieval
Gloomhaven,2017,1,4,120,42055,8.79244,3.8604, Campaign / Battle Card Driven
Gloomhaven,2017,1,4,120,42055,8.79244,3.8604, Card Play Conflict Resolution
Gloomhaven,2017,1,4,120,42055,8.79244,3.8604, Communication Limits
Gloomhaven,2017,1,4,120,42055,8.79244,3.8604, Cooperative Game
Gloomhaven,2017,1,4,120,42055,8.79244,3.8604, Deck Construction
Gloomhaven,2017,1,4,120,42055,8.79244,3.8604, Deck Bag and Pool Building
Gloomhaven,2017,1,4,120,42055,8.79244,3.8604, Grid Movement
Gloomhaven,2017,1,4,120,42055,8.79244,3.8604, Hand Management
Gloomhaven,2017,1,4,120,42055,8.79244,3.8604, Hexagon Grid
Gloomhaven,2017,1,4,120,42055,8.79244,3.8604, Legacy Game
Gloomhaven,2017,1,4,120,42055,8.79244,3.8604, Modular Board
Gloomhaven,2017,1,4,120,42055,8.79244,3.8604, Once-Per-Game Abilities
Gloomhaven,2017,1,4,120,42055,8.79244,3.8604, Scenario / Mission / Campaign Game
Gloomhaven,2017,1,4,120,42055,8.79244,3.8604, Simultaneous Action Selection
Gloomhaven,2017,1,4,120,42055,8.79244,3.8604, Solo / Solitaire Game
Gloomhaven,2017,1,4,120,42055,8.79244,3.8604, Storytelling
Gloomhaven,2017,1,4,120,42055,8.79244,3.8604, Variable Player Powers
Pandemic Legacy: Season 1,2015,2,4,60,41643,8.61278,2.8405,Action Points
Pandemic Legacy: Season 1,2015,2,4,60,41643,8.61278,2.8405, Cooperative Game
Pandemic Legacy: Season 1,2015,2,4,60,41643,8.61278,2.8405, Hand Management
Pandemic Legacy: Season 1,2015,2,4,60,41643,8.61278,2.8405, Legacy Game
Pandemic Legacy: Season 1,2015,2,4,60,41643,8.61278,2.8405, Point to Point Movement
Pandemic Legacy: Season 1,2015,2,4,60,41643,8.61278,2.8405, Set Collection
Pandemic Legacy: Season 1,2015,2,4,60,41643,8.61278,2.8405, Trading
Pandemic Legacy: Season 1,2015,2,4,60,41643,8.61278,2.8405, Variable Player Powers
Brass: Birmingham,2018,2,4,120,19217,8.66337,3.9129,Hand Management
Brass: Birmingham,2018,2,4,120,19217,8.66337,3.9129, Income
